number;url;source_type;menu_hierarchy;challenge_label;challenge_desc,
9;https://www.czs.si/content/C5;spletna stran;Meni Čebele / Medovite rastline);C;C.     INTEGRACIJA PODATKOV MEDENJA in medovitih rastlin v rešitev,
10;https://www.czs.si/content/D71;spletna stran;;D;D.     INTEGRACIJA PODATKOV mesečnih ČEBELARSKIH OPRAVIL z razlago (kdaj & kaj) v rešitev,
11;https://www.czs.si/content/D72;spletna stran;;D;D.     INTEGRACIJA PODATKOV mesečnih ČEBELARSKIH OPRAVIL z razlago (kdaj & kaj) v rešitev,
12;https://www.czs.si/content/D73;spletna stran;;D;D.     INTEGRACIJA PODATKOV mesečnih ČEBELARSKIH OPRAVIL z razlago (kdaj & kaj) v rešitev,
13;https://www.czs.si/content/D74;spletna stran;;D;D.     INTEGRACIJA PODATKOV mesečnih ČEBELARSKIH OPRAVIL z razlago (kdaj & kaj) v rešitev,
14;https://www.czs.si/content/D75;spletna stran;;D;D.     INTEGRACIJA PODATKOV mesečnih ČEBELARSKIH OPRAVIL z razlago (kdaj & kaj) v rešitev,
15;https://www.czs.si/content/D76;spletna stran;;D;D.     INTEGRACIJA PODATKOV mesečnih ČEBELARSKIH OPRAVIL z razlago (kdaj & kaj) v rešitev,
16;https://www.czs.si/content/D77;spletna stran;;D;D.     INTEGRACIJA PODATKOV mesečnih ČEBELARSKIH OPRAVIL z razlago (kdaj & kaj) v rešitev,
17;https://www.czs.si/content/D78;spletna stran;;D;D.     INTEGRACIJA PODATKOV mesečnih ČEBELARSKIH OPRAVIL z razlago (kdaj & kaj) v rešitev,
18;https://www.czs.si/content/d79;spletna stran;;D;D.     INTEGRACIJA PODATKOV mesečnih ČEBELARSKIH OPRAVIL z razlago (kdaj & kaj) v rešitev,
19;https://www.czs.si/Admin/load.php?sif_ob=5&sif_fileobjave_podrobno_czs&sif_parent=11159;spletna stran;;D;D.     INTEGRACIJA PODATKOV mesečnih ČEBELARSKIH OPRAVIL z razlago (kdaj & kaj) v rešitev,
20;https://spletni2.furs.gov.si/FFS/REGSR/FFS_sezn.asp?L=1&S=1&top=1;spletna stran;;E;E.      INTEGRACIJA PODATKOV UPORABE ČEBELAM NEVARNIH FFS-jev v rešitev,
