HGCZ_LOKACIJA,Y,X,DAT_ZACETEK,DAT_PRENEHANJE
59669,430651,59568,17.04.15,29.07.15
42788,456141,63793,19.05.15,15.09.15
42812,458036,62006,16.10.14,15.09.15
40451,464831,89543,13.05.15,15.06.16
39791,465789,88707,12.05.15,01.06.16
35781,455598,62506,20.05.15,15.09.15
35782,458473,61148,20.05.15,15.09.15
35835,456663,63834,20.05.15,15.09.15
60504,530856,90095,10.06.15,14.09.15
41830,529281,86204,10.06.15,14.09.15
41832,530238,85882,10.06.15,14.09.15
42470,527180,85879,30.06.15,14.09.15
42874,530962,86939,30.06.15,17.09.15
46963,554017,121047,01.06.15,17.11.15
35783,455143,63573,09.07.15,15.09.15
40474,547904,150485,01.07.15,12.05.16
31230,533659,90590,20.07.15,10.06.16
31850,592632,180632,20.07.15,25.09.15
39491,472031,77109,26.06.15,05.11.15
33773,464626,98525,22.06.15,26.10.15
47403,470047,82598,26.06.15,09.11.15
37590,470186,81969,09.07.15,09.11.15
47943,479777,62565,13.02.15,23.09.15
31943,548976,150648,12.08.15,12.05.16
35460,545611,149364,13.08.15,12.05.16
42643,535216,92711,08.09.15,10.06.16
36325,470722,94730,22.04.14,20.07.15
30698,486308,128993,01.09.15,03.05.16
48383,504050,144531,11.09.15,14.09.16
35761,545842,140342,23.09.15,10.08.16
44119,551738,84651,02.10.15,10.06.16
41913,532889,115007,05.10.15,23.08.16
48855,540806,112653,07.10.15,23.08.16
30911,564068,130615,09.11.15,18.04.16
39848,415316,83998,29.12.15,26.04.16
58619,441547,112062,04.04.16,03.06.16
48233,542239,81202,14.04.16,06.09.16
62194,479713,104647,25.04.16,14.11.16
41276,485143,88764,25.04.16,27.03.17
49183,503147,146551,13.04.16,14.09.16
48679,504121,144564,13.04.16,14.09.16
50470,485739,85358,03.05.16,28.03.17
41733,549733,138115,12.04.16,10.08.16
36011,479728,104606,05.05.16,01.12.16
51721,439431,110887,06.05.16,25.08.16
34639,495161,103818,11.05.16,13.02.17
55122,550350,85893,12.05.16,12.07.16
38688,550941,84803,12.05.16,12.07.16
34142,542510,138569,10.05.16,23.08.16
43317,542989,81221,20.05.16,22.09.16
48335,542989,81221,20.05.16,22.09.16
31188,542955,81290,20.05.16,22.09.16
46627,537928,92534,20.05.16,20.07.16
31308,495907,104434,24.05.16,13.02.17
49432,480132,105830,27.05.16,23.09.16
61505,481518,108305,27.05.16,23.09.16
35259,478016,107768,27.05.16,23.09.16
31352,479733,105964,27.05.16,22.09.16
45801,437616,110305,30.05.16,25.08.16
43312,544696,80518,02.06.16,09.05.17
43313,544587,80880,02.06.16,09.05.17
60120,537080,89170,02.06.16,22.09.16
47179,479934,104279,01.06.16,31.08.16
31456,544811,80748,06.06.16,09.05.17
35994,537094,90055,22.06.16,22.09.16
30311,464839,90390,27.08.14,03.06.16
55519,535628,114864,06.07.16,09.09.16
36967,578137,180734,18.07.16,05.10.16
30243,462250,124538,18.07.16,29.09.16
31481,539233,81250,20.07.16,09.05.17
30259,463323,124703,21.05.16,29.09.16
39713,579179,185077,25.07.16,05.10.16
42699,481637,86036,28.07.16,03.05.18
31484,544708,82863,01.08.16,08.05.17
64869,533822,91455,02.08.16,22.09.16
