LOKACIJA_IZH,Y,X,LOKACIJA_DEST,Y_DEST,X_DEST,DATE_MOVE
75508,428405,79934,31356,418285,80953,20.08.19
71947,428405,79935,31356,418285,80953,14.08.18
67789,391113,101705,31356,418285,80953,07.07.17
65105,426225,78947,31356,418285,80953,12.09.16
60615,391113,101705,31356,418285,80953,13.07.15
57905,426225,78947,31356,418285,80953,19.08.14
81126,427406,78306,31357,418285,80953,31.08.21
77835,427455,77663,31357,418285,80953,20.08.20
74507,425053,78060,31357,418285,80953,20.08.19
71708,428405,79935,31357,418285,80953,14.08.18
67317,425053,78061,31357,418285,80953,14.08.17
57160,426225,78947,31357,418285,80953,19.08.14
31145,423179,128577,31387,452443,119108,06.04.12
43623,451888,60654,31387,452443,119108,19.08.16
61302,428353,85372,31388,452443,119108,13.08.15
56365,591951,172458,31388,452443,119108,27.05.14
54601,454006,63709,31388,452443,119108,26.08.13
81014,538788,157946,31405,590211,159529,25.08.21
81013,541010,160733,31405,590211,159529,25.08.21
79348,590153,160976,31406,591668,160058,11.09.20
69916,590705,158665,31406,591668,160058,14.05.18
61776,535920,162739,31406,591668,160058,28.09.18
36294,541386,159366,31406,591668,160058,01.08.17
78609,541010,160733,31407,587176,162539,31.07.20
61776,535920,162739,31407,587176,162539,01.08.17
36293,540539,157989,31407,587176,162539,28.09.18
81497,540511,157966,31408,586822,162129,26.08.21
81494,535928,162672,31408,586822,162129,26.08.21
81494,535928,162672,31408,586822,162129,26.08.21
71563,535179,163738,31408,586822,162129,28.09.18
69917,590705,158665,31408,586822,162129,14.05.18
36293,540539,157989,31408,586822,162129,01.08.17
36293,540539,157989,31408,586822,162129,02.08.20
43094,542065,159953,31410,584424,162957,02.08.17
43094,542065,159953,31410,584424,162957,18.07.19
31421,587732,158071,31410,584424,162957,03.05.18
81125,589227,153208,31417,589488,159900,03.07.21
78392,589227,153208,31417,589488,159900,07.07.20
74774,589227,153208,31417,589488,159900,03.07.19
74774,589227,153208,31417,589488,159900,03.07.19
70875,589226,153208,31417,589488,159900,29.06.18
67462,589226,153208,31417,589488,159900,26.07.17
67058,431703,132555,32761,438091,132223,25.11.17
67087,431703,132555,32761,438091,132223,25.11.17
41836,527264,88368,32765,437928,134809,10.04.18
30907,504922,155354,32833,492100,158673,20.04.17
40436,524433,125383,30185,526187,118983,06.05.13
48419,481386,119357,30215,455756,124205,23.05.12
81765,399731,108371,30230,464866,124312,06.08.21
68174,483978,106543,30230,464866,124312,02.08.17
68123,399726,108367,30230,464866,124312,02.07.17
65466,442597,121479,30230,464866,124312,14.04.20
54639,487032,130489,30230,464866,124312,07.08.13
31145,423179,128577,30239,462605,123073,06.04.12
43293,432836,140274,30250,460373,124214,28.04.12
41819,418624,129014,30250,460373,124214,08.04.19
41819,418624,129014,30250,460373,124214,14.04.20
72156,584938,162927,31421,587732,158071,11.09.18
31425,577522,151838,31422,577522,151838,23.03.12
61768,536804,163125,31423,587732,158071,28.07.17
36296,540895,161438,31423,587732,158071,21.07.15
36296,540895,161438,31423,587732,158071,28.07.17
36296,540895,161438,31424,587732,158071,11.06.13
36296,540895,161438,31424,587732,158071,21.07.15
36296,540895,161438,31424,587732,158071,22.07.16
63784,540796,161329,31425,577522,151838,22.07.16
57677,540796,161329,31425,577522,151838,12.08.14
36296,540895,161438,31425,577522,151838,21.07.15
59047,480981,86857,31449,487077,80342,28.05.15
51007,516967,70247,31451,515843,93272,09.05.17
38327,512828,68673,31451,515843,93272,14.04.17
70157,556094,101035,31456,544811,80748,20.05.18
70287,554601,97588,31498,544380,80880,25.05.18
70287,554601,97588,31498,544380,80880,15.06.19
31497,544388,80364,31498,544380,80880,25.04.18
31217,547162,87888,31499,544193,80492,06.06.15
33750,588021,164675,32992,577759,183237,12.04.12
46737,502849,122524,32995,577683,188479,07.05.14
53364,579097,181679,32999,579048,187056,18.04.20
30964,606638,172540,32999,579048,187056,27.03.15
32326,596054,169472,33000,579915,187809,30.03.12
81142,543523,154880,33023,536575,154912,29.07.21
61998,538919,155713,33029,534756,155396,12.03.18
48961,562215,169795,33034,536063,157031,10.04.15
48961,562215,169795,33034,536063,157031,08.04.15
41667,592648,161372,33046,535274,157504,23.05.17
80962,425999,89038,30265,407231,84280,24.09.21
77826,425999,89038,30265,407231,84280,19.09.20
74831,425999,89038,30265,407231,84280,17.09.19
71809,425999,89034,30265,407231,84280,15.09.18
67135,425999,89034,30265,407231,84280,09.09.17
64349,425999,89034,30265,407231,84280,01.10.16
59988,425999,89034,30265,407231,84280,17.09.15
54569,425999,89034,30265,407231,84280,30.10.13
41960,427193,92719,30265,407231,84280,19.04.12
81508,483043,103337,30314,459261,92036,19.07.21
78743,483043,103337,30314,459261,92036,17.07.20
75175,483043,103337,30314,459261,92036,15.07.19
71498,483042,103337,30314,459261,92036,03.08.18
69203,524405,56896,30331,419440,109990,09.04.20
69203,524405,56896,30331,419440,109990,24.04.21
74962,480152,105529,31533,105983,105983,18.09.19
70138,592289,171900,31533,105983,105983,18.09.19
56878,461339,89022,31533,105983,105983,02.09.14
80611,395528,89432,31545,474115,107698,27.05.21
80610,399569,38711,31545,474115,107698,30.05.21
78254,397604,119150,31545,474115,107698,14.07.20
77136,395528,89432,31545,474115,107698,20.05.20
70015,395528,89432,31545,474115,107698,11.05.18
62786,395528,89432,31545,474115,107698,25.05.16
59078,395528,89432,31545,474115,107698,12.05.15
56049,395528,89432,31545,474115,107698,02.05.14
56309,402096,82294,31559,441855,84159,08.05.14
74806,474439,101056,32514,445300,96753,12.07.19
73710,408740,81440,32514,445300,96753,24.05.19
72109,446761,83850,32514,445300,96753,28.07.18
71213,385657,123851,32514,445300,96753,06.07.18
69975,408740,81440,32514,445300,96753,18.05.18
69974,408740,81440,32514,445300,96753,21.05.18
65134,447145,84001,32514,445300,96753,28.08.16
65134,447145,84001,32514,445300,96753,20.08.16
59160,408740,81440,32514,445300,96753,30.05.15
57536,447145,84001,32514,445300,96753,06.08.14
55990,408740,81440,32514,445300,96753,16.05.14
54707,498595,120846,32514,445300,96753,19.08.13
74804,385031,124268,32515,445300,96753,28.07.19
66486,408740,81440,32515,445300,96753,22.05.17
67672,385657,123851,32515,445300,96753,15.07.17
64441,475740,99346,32515,445300,96753,21.07.16
57985,447145,84001,32515,445300,96753,05.08.14
57318,385657,123851,32515,445300,96753,11.07.14
60751,475740,99346,32515,445300,96753,10.08.15
60282,447145,84001,32515,445300,96753,10.08.15
59163,408740,81440,32515,445300,96753,31.05.15
55989,408740,81440,32515,445300,96753,16.05.14
54707,498595,120846,32515,445300,96753,24.08.13
54059,385577,123808,32515,445300,96753,16.07.13
80598,387668,94282,32521,452112,103350,24.05.21
77238,387668,94282,32521,452112,103350,11.05.20
74489,462893,92953,32521,452112,103350,16.08.19
72223,462545,90409,32521,452112,103350,06.08.18
72223,462545,90409,32521,452112,103350,07.08.18
68274,441250,106838,32521,452112,103350,03.08.17
66911,485974,128945,32521,452112,103350,15.06.17
64786,500394,120326,32521,452112,103350,01.08.17
64786,500394,120326,32521,452112,103350,10.08.16
62776,402866,82185,32523,450154,99352,18.05.16
57899,455917,85311,32523,450154,99352,30.07.14
57899,455917,85311,32523,450154,99352,30.07.14
41887,448058,104254,32523,450154,99352,07.05.12
60706,475917,99341,32524,450154,99352,09.07.15
69574,503888,120998,32526,454223,101707,18.07.18
59810,435181,124048,32577,435314,103715,25.05.21
37170,478395,105319,32587,438111,108681,10.08.21
81707,421586,111852,30334,417883,110157,15.07.21
72032,449854,68795,30334,417883,110157,11.08.18
67893,395974,111761,30334,417883,110157,02.08.17
66440,396146,88695,30334,417883,110157,22.05.17
62670,395486,88757,30334,417883,110157,01.08.16
81707,421586,111852,30340,416618,106941,15.07.21
48938,416454,106933,30340,416618,106941,12.08.21
31148,418219,126851,30341,418256,112709,07.04.12
82177,450618,54407,30347,440542,54971,06.09.21
82176,449262,59122,30347,440542,54971,06.09.21
66605,440417,50893,30347,440542,54971,03.06.17
76071,445841,67967,30362,434201,50462,17.09.19
59989,427373,46903,30363,426852,54171,02.09.20
55934,539976,159981,30367,564148,163752,08.08.14
55934,539976,159981,30367,564148,163752,03.08.15
55934,539976,159981,30367,564148,163752,22.08.19
