CEBELNJAK_LOKACIJA,Y,X,DAT_ZACETEK,DAT_PRENEHANJE
41288,600052,154489,22.09.05,
41308,480057,112160,23.09.05,
39438,558529,152102,11.04.05,
39439,560349,149636,11.04.05,
40291,592441,175752,07.07.05,
40293,456167,96860,07.07.05,12.12.18
40315,611381,154455,08.07.05,
41313,394573,37186,27.09.05,
41318,592181,146356,28.09.05,
42055,485548,91877,06.04.06,11.04.17
42056,436216,45540,06.04.06,
42061,529054,81954,07.04.06,
42064,599858,179746,07.04.06,05.05.08
42065,598610,156115,07.04.06,
42070,485548,91877,07.04.06,
39459,388849,134531,12.04.05,
40387,468844,107776,15.07.05,
40416,404430,43375,19.07.05,
40424,417235,74967,19.07.05,
40427,417113,76858,20.07.05,
41382,582337,180072,12.10.05,
41817,418616,128992,18.01.06,06.07.15
41818,418537,128420,18.01.06,
41830,529281,86204,23.01.06,
41844,436300,101902,23.01.06,23.06.15
41847,548985,154532,23.01.06,
41869,591237,154553,24.01.06,09.07.13
41870,591237,154553,24.01.06,
41871,591237,154553,24.01.06,
39536,445740,92603,14.04.05,19.08.16
39538,448173,92986,14.04.05,02.03.12
39550,397324,35518,14.04.05,
40444,518259,48921,20.07.05,
40445,522831,43663,20.07.05,
40461,548482,95365,20.07.05,
40462,475817,92169,20.07.05,
40464,548477,95387,20.07.05,
40470,540127,79824,20.07.05,
40471,540127,79824,20.07.05,15.06.16
40476,385419,100470,20.07.05,19.02.10
40478,386879,94282,20.07.05,14.02.12
40479,386879,94282,20.07.05,14.02.12
40481,490215,43243,20.07.05,18.10.16
40482,488161,36088,20.07.05,23.02.12
40483,491418,47841,20.07.05,05.03.21
40485,489079,36645,20.07.05,26.11.08
41394,550426,90591,21.10.05,
41395,550426,90591,21.10.05,
41396,550426,90591,21.10.05,
41398,405096,71414,25.10.05,
41400,601140,163381,25.10.05,01.10.08
38467,441610,77116,17.03.05,
38524,421886,73393,18.03.05,
38525,421119,72979,18.03.05,
38526,421600,72924,18.03.05,02.03.11
38527,422006,72514,18.03.05,
38528,422483,72365,18.03.05,21.02.12
38529,421600,72924,18.03.05,
38531,421360,71329,18.03.05,
38535,417532,77000,18.03.05,
39572,447097,91490,18.04.05,02.09.19
39613,408659,116466,18.04.05,
40516,489989,98813,21.07.05,
40517,492267,99894,21.07.05,
40529,460879,89128,21.07.05,09.03.21
40552,396814,92388,21.07.05,
40558,588017,143868,21.07.05,
40560,588700,142202,21.07.05,
40564,439611,60979,21.07.05,19.10.10
40566,442932,59657,21.07.05,
40567,442932,59657,21.07.05,
40568,442932,59657,21.07.05,
40569,439724,61222,21.07.05,13.02.20
40570,437749,59862,21.07.05,25.09.08
40571,432175,55369,21.07.05,24.09.18
40572,432175,55369,21.07.05,24.09.18
40573,432175,55369,21.07.05,24.09.18
41431,502260,141677,18.11.05,22.01.18
41447,602454,175315,21.11.05,
41448,601568,172868,21.11.05,
42905,411176,83167,29.05.07,
42906,411176,83167,29.05.07,
42907,470175,69392,29.05.07,
42912,444634,124935,31.05.07,
42918,606119,159690,31.05.07,18.09.12
42919,603874,160790,31.05.07,
42920,600373,156614,31.05.07,06.02.09
42921,600404,155895,31.05.07,06.02.09
43221,469801,115665,23.10.07,05.04.12
42163,502512,67988,18.05.06,
42169,526670,131066,01.06.06,09.07.14
42923,596782,161039,18.06.07,
42924,597202,160595,18.06.07,
43264,586224,147100,30.10.07,
42184,445598,59518,14.06.06,23.01.09
